userName,cardNumber,PIN,balance,adminStatus,safetyStatus,blockedStatus,issueDate,expiryDate
Harry Kane,24345,2634,100000,F,safe,F,12122021,12122024
Gareth Bale,01342,2364,100000,F,safe,F,31092020,31092023
Heung Min Son,35346,9585,100000,F,safe,F,01032019,01032022
Hugo LLoris,29485,2374,100000,F,safe,F,28072021,28072024
Dele Alli,02567,1234,100000,F,safe,F,30112018,30112021
Lucas Moura,73902,3643,100000,F,safe,F,15122019,15122022
Steve Bergwijn,34745,1254,100000,F,safe,F,04072019,04072022
Daniel Levy,17456,7456,100000,F,safe,F,13072020,13072023
Japhet Tanganga,34845,2346,100000,F,safe,F,15102021,15102024
Sergio Reguilon,13456,1273,100000,F,safe,F,09122020,09122023
Pierre Emile Hojberg,00000,0000,100000,TRUE,safe,F,01012021,01012024
